Outcome,Approach,Estimate,SE,CI_Lower,CI_Upper,Correlation,Measure,Selection
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0
O1,Bivariate Selection on effect,1.6053448259639256,0.19101893563614208,1.230947712117087,1.979741939810764,-0.9,log OR,0
O2,Bivariate Selection on effect,0.8741801581110744,0.3660933219707498,0.15663724704840487,1.591723069173744,-0.9,log OR,0
O1,Bivariate Selection on zscore,1.6053448259639256,0.19101893563614208,1.230947712117087,1.979741939810764,-0.9,log OR,0
O2,Bivariate Selection on zscore,0.8741801581110744,0.3660933219707498,0.15663724704840487,1.591723069173744,-0.9,log OR,0
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.1
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.1
O1,Bivariate Selection on effect,1.607891096082738,0.19124699329204423,1.2330469892303313,1.9827352029351446,-0.9,log OR,0.1
O2,Bivariate Selection on effect,0.8422645038014966,0.3659399752729873,0.12502215226644164,1.5595068553365516,-0.9,log OR,0.1
O1,Bivariate Selection on zscore,1.605502807557029,0.19105720507509089,1.231030685609851,1.979974929504207,-0.9,log OR,0.1
O2,Bivariate Selection on zscore,0.8517673087163085,0.36535598151211557,0.13566958495256198,1.567865032480055,-0.9,log OR,0.1
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.2
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.2
O1,Bivariate Selection on effect,1.6103207745457184,0.19148035649666578,1.2350192758122536,1.9856222732791833,-0.9,log OR,0.2
O2,Bivariate Selection on effect,0.8105323196319538,0.36589071284205466,0.09338652246152668,1.527678116802381,-0.9,log OR,0.2
O1,Bivariate Selection on zscore,1.6055376534870154,0.19106488089482834,1.2310504869331518,1.980024820040879,-0.9,log OR,0.2
O2,Bivariate Selection on zscore,0.8296393303417364,0.3646599757215373,0.11490577792752332,1.5443728827559495,-0.9,log OR,0.2
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.30000000000000004
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.30000000000000004
O1,Bivariate Selection on effect,1.6126237989402747,0.19172159932937238,1.2368494642547048,1.9883981336258447,-0.9,log OR,0.30000000000000004
O2,Bivariate Selection on effect,0.779137198067563,0.3659020266149556,0.06196922590225007,1.4963051702328758,-0.9,log OR,0.30000000000000004
O1,Bivariate Selection on zscore,1.6054505593637598,0.19104154466683193,1.2310091318167693,1.9798919869107503,-0.9,log OR,0.30000000000000004
O2,Bivariate Selection on zscore,0.8078182023313191,0.3639713954174086,0.09443426731319826,1.52120213734944,-0.9,log OR,0.30000000000000004
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.4
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.4
O1,Bivariate Selection on effect,1.614784395934835,0.1919702927267049,1.2385226221904932,1.9910461696791766,-0.9,log OR,0.4
O2,Bivariate Selection on effect,0.748260339971885,0.365959294148335,0.03098012344114842,1.4655405565026216,-0.9,log OR,0.4
O1,Bivariate Selection on zscore,1.6052404259644266,0.1909872081928715,1.2309054979063985,1.9795753540224548,-0.9,log OR,0.4
O2,Bivariate Selection on zscore,0.7863432758121278,0.36327456406896913,0.07432513023694831,1.4983614213873073,-0.9,log OR,0.4
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.5
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.5
O1,Bivariate Selection on effect,1.616782803123242,0.19222278395563092,1.2400261465702056,1.9935394596762785,-0.9,log OR,0.5
O2,Bivariate Selection on effect,0.7180935635002047,0.36605024317606405,6.350868751191507e-4,1.4355520401252901,-0.9,log OR,0.5
O1,Bivariate Selection on zscore,1.6049037788044196,0.19090218776296347,1.2307354907890111,1.979072066819828,-0.9,log OR,0.5
O2,Bivariate Selection on zscore,0.7652615920415183,0.3625666537025443,0.05463095078453151,1.4758922332985052,-0.9,log OR,0.5
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.6000000000000001
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.6000000000000001
O1,Bivariate Selection on effect,1.6185968459493825,0.1924727594556789,1.2413502374162517,1.9958434544825132,-0.9,log OR,0.6000000000000001
O2,Bivariate Selection on effect,0.6888396778832214,0.3661483248971562,-0.028811038915204756,1.4064903946816476,-0.9,log OR,0.6000000000000001
O1,Bivariate Selection on zscore,1.604434635864901,0.19078690669495119,1.2304922987427966,1.9783769729870055,-0.9,log OR,0.6000000000000001
O2,Bivariate Selection on zscore,0.7446220355174498,0.3618513590054335,0.03539337186680003,1.4538506991680995,-0.9,log OR,0.6000000000000001
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.7000000000000001
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.7000000000000001
O1,Bivariate Selection on effect,1.6202040856502098,0.19271246517567597,1.242487653905885,1.9979205173945347,-0.9,log OR,0.7000000000000001
O2,Bivariate Selection on effect,0.6607196970026071,0.3662108204652094,-0.057053511109203314,1.3784929051144177,-0.9,log OR,0.7000000000000001
O1,Bivariate Selection on zscore,1.6038244846887135,0.1906416537809466,1.2301668432780581,1.977482126099369,-0.9,log OR,0.7000000000000001
O2,Bivariate Selection on zscore,0.724473546967653,0.3611331238091011,0.0166526243018148,1.4322944696334912,-0.9,log OR,0.7000000000000001
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.8
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.8
O1,Bivariate Selection on effect,1.6215847798213174,0.19293422820186124,1.2434336925456695,1.9997358670969654,-0.9,log OR,0.8
O2,Bivariate Selection on effect,0.6339748521316313,0.36618964499237333,-0.08375685205342043,1.351706556316683,-0.9,log OR,0.8
O1,Bivariate Selection on zscore,1.603062548957172,0.19046633581316438,1.2297485307633698,1.976376567150974,-0.9,log OR,0.8
O2,Bivariate Selection on zscore,0.704866675280763,0.36041314896078047,-0.0015430966823667402,1.4112764472438926,-0.9,log OR,0.8
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,0.9
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,0.9
O1,Bivariate Selection on effect,1.622725233285643,0.19313184135584097,1.2441868242281946,2.0012636423430914,-0.9,log OR,0.9
O2,Bivariate Selection on effect,0.6088556657054884,0.3660475463812068,-0.10859752520167687,1.3263088566126537,-0.9,log OR,0.9
O1,Bivariate Selection on zscore,1.6021364961240039,0.19026026692928694,1.2292263729426014,1.9750466193054064,-0.9,log OR,0.9
O2,Bivariate Selection on zscore,0.685857018734807,0.35968789270345974,-0.019131250963974056,1.390845288433588,-0.9,log OR,0.9
O1,Naive estimate,1.5835474967395098,0.1925166655354304,1.2062217658663228,1.9608732276126968,-0.9,log OR,1
O2,Naive estimate,1.1945824515529275,0.473843192122006,0.26586686067430243,2.1232980424315526,-0.9,log OR,1
O1,Bivariate Selection on effect,1.6236206374783113,0.19330145567032184,1.2447497843644806,2.002491490592142,-0.9,log OR,1
O2,Bivariate Selection on effect,0.5855980398443531,0.3657710728756256,-0.13131326299187307,1.3025093426805792,-0.9,log OR,1
O1,Bivariate Selection on zscore,1.6010336598162658,0.1900220365675027,1.2285904681439606,1.973476851488571,-0.9,log OR,1
