scenario_idx,K,theta_1,theta_2,tau2_val,rho_b,rho_w,delta_sim,p1,select_type,delta_est,N_Successful,N_Attempts,Failure_Rate,Avg_Redraws,Bias_Full,MSE_Full,Coverage_Full,CI_Width_Full,Bias_Naive_Biv,MSE_Naive_Biv,Coverage_Naive_Biv,CI_Width_Naive_Biv,Bias_Adj_Uni,MSE_Adj_Uni,Coverage_Adj_Uni,CI_Width_Adj_Uni,Bias_Adj_Biv,MSE_Adj_Biv,Coverage_Adj_Biv,CI_Width_Adj_Biv,Fail_Rate_Biv
1,6,0.4,0.4,0,0.4,0.4,0,0.2,zscore,0,1900,2704,0.2973372781065089,0.15526315789473685,6.875866656073093e-4,0.0063529227440151164,0.9473684210526315,0.31735371043371136,8.138777392810992e-4,0.008163319725124539,0.96,0.3631051884041351,9.036777290083453e-4,0.008232478173688459,0.966842105263158,0.4006567541564771,7.285387939757193e-4,0.0078048427002130605,0.9573684210526315,0.35141863983419985,0
2,12,0.4,0.4,0,0.4,0.4,0,0.2,zscore,0,1900,2045,0.07090464547677261,0,0.0017246954805589798,0.0035065889561304835,0.9436842105263158,0.22417438957849584,0.0018435177543855708,0.004455018759643205,0.9389473684210526,0.2547548374998728,0.0018114543892822632,0.004478841330392004,0.9452631578947368,0.2712255184868377,0.0022312446050012924,0.004286779460118192,0.9421052631578948,0.24681708385719833,0
3,25,0.4,0.4,0,0.4,0.4,0,0.2,zscore,0,1900,1904,0.0021008403361344537,0,-0.0017029561489584344,0.0015612853677479492,0.9463157894736842,0.15505596446740216,-0.0016658652226283488,0.001932922528583068,0.9526315789473684,0.1741692504796088,-0.001645531870378747,0.0019344992389244346,0.9568421052631579,0.1815395220938997,-0.0016594622302364415,0.0018608205009469686,0.9510526315789474,0.16944749983523671,0
4,6,0.4,0.4,0.02,0.4,0.4,0,0.2,zscore,0,1900,2641,0.2805755395683453,0.14263157894736841,-1.9310514971382364e-4,0.009941394694689722,0.9536842105263158,0.3905067316588979,-8.206368094232364e-4,0.01261979261031688,0.9547368421052631,0.44804623527922066,-8.084164157738938e-4,0.012695858782002484,0.9373684210526316,0.4493187441557582,-4.7516562153598896e-4,0.012057886860918516,0.9494736842105264,0.43333147430836877,0
5,12,0.4,0.4,0.02,0.4,0.4,0,0.2,zscore,0,1900,2053,0.07452508524111057,0,-0.002135334241378517,0.005041926250023746,0.9463157894736842,0.2759027640388462,-0.0026502239021068408,0.00638595408803483,0.9521052631578948,0.3137725413065908,-0.002760062698879129,0.00641808708446186,0.9289473684210526,0.31272665647253234,-0.0026403299897237442,0.0062946611370351055,0.9431578947368421,0.30376256910646504,0
6,25,0.4,0.4,0.02,0.4,0.4,0,0.2,zscore,0,1900,1910,0.005235602094240838,0,-7.043890890331972e-4,0.0024456661209449246,0.9468421052631579,0.19113484178217638,-2.803585360038885e-4,0.002952678461428221,0.9452631578947368,0.2143514092261859,-2.9838732160997194e-4,0.0029595145763778863,0.9231578947368421,0.21092035351403154,-5.061344365053788e-5,0.0028752428493047503,0.9421052631578948,0.20856920038893736,0
7,6,0.4,0.4,0.06,0.4,0.4,0,0.2,zscore,0,1900,2716,0.3004418262150221,0.15263157894736842,4.4035943036191405e-4,0.016057632353088727,0.9568421052631579,0.5051697298073269,-1.9052143054976156e-4,0.021568242723921913,0.9515789473684211,0.5783635040225383,1.7098498013706775e-4,0.02152524323840059,0.8978947368421053,0.5528906055938242,6.499038960423031e-4,0.02050654221704455,0.9452631578947368,0.5593748669911349,0
8,12,0.4,0.4,0.06,0.4,0.4,0,0.2,zscore,0,1900,2016,0.057539682539682536,0,5.017900587696578e-4,0.008388849098820214,0.9473684210526315,0.3573842807972015,-3.8619615750246084e-5,0.011159160662036085,0.9463157894736842,0.40790771324215636,-3.802900919436247e-5,0.011190033172358713,0.9131578947368421,0.3871987128260474,-2.4917094354248714e-4,0.010611670011550096,0.9431578947368421,0.3943463372381184,0
9,25,0.4,0.4,0.06,0.4,0.4,0,0.2,zscore,0,1900,1905,0.0026246719160104987,0,-0.0014663139723870011,0.004091716278348781,0.9405263157894737,0.2475464328720689,-0.0015448448593735065,0.005035384568967738,0.9478947368421052,0.27770845042775266,-0.0014906324411020355,0.005044727107292108,0.93,0.2706314466698975,-0.0018039332955832044,0.004825637190391283,0.9484210526315789,0.27016612632352355,0
10,6,0.4,0.4,0.36,0.4,0.4,0,0.2,zscore,0,1900,2736,0.3055555555555556,0.16578947368421051,0.003152067226164179,0.06890204171875353,0.9442105263157895,1.0120949768665373,0.003401321169864302,0.0904770396448716,0.9452631578947368,1.1605655779263533,0.0035232663680637155,0.09054437804012734,0.8673684210526316,1.0708436454860264,0.005197592773897808,0.08774265203313401,0.9426315789473684,1.1218734453168953,0
11,12,0.4,0.4,0.36,0.4,0.4,0,0.2,zscore,0,1900,2045,0.07090464547677261,0,-7.672416673348836e-4,0.03201550938238944,0.9578947368421052,0.7155959610991423,-0.004259391672112811,0.04286999233779438,0.9494736842105264,0.8127141312918065,-0.0040535703557356695,0.043020623592030655,0.9152631578947369,0.775736983438586,-0.004264352105007918,0.04119766885855792,0.9484210526315789,0.7871542880554918,0
