scenario_idx,K,theta_1,theta_2,tau2_val,rho_b,rho_w,delta_sim,p1,select_type,delta_est,N_Successful,N_Attempts,Failure_Rate,Avg_Redraws,Bias_Full,MSE_Full,Coverage_Full,CI_Width_Full,Bias_Naive_Biv,MSE_Naive_Biv,Coverage_Naive_Biv,CI_Width_Naive_Biv,Bias_Adj_Uni,MSE_Adj_Uni,Coverage_Adj_Uni,CI_Width_Adj_Uni,Bias_Adj_Biv,MSE_Adj_Biv,Coverage_Adj_Biv,CI_Width_Adj_Biv,Fail_Rate_Biv
1,6,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0,1900,2500,0.24,0.20157894736842105,-0.0023493272369290996,0.006307271060227337,0.9557894736842105,0.31704590217101003,0.03093016090259665,0.008949960034188385,0.9436842105263158,0.3643629888998612,0.031055333977752175,0.009005763656947129,0.9531578947368421,0.3921166333502956,0.026138930498882773,0.008473379511245101,0.9452631578947368,0.35174582274515037,0
2,12,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0,1900,2005,0.05236907730673317,5.263157894736842e-4,-0.0031261990134210382,0.003160090796588137,0.9573684210526315,0.22418678943817769,0.030448346073540744,0.004788439334654203,0.9378947368421052,0.25909368535968763,0.030754470001720213,0.004856132659021155,0.9463157894736842,0.27074985339113217,0.025445422893047687,0.004345997209907631,0.9389473684210526,0.2494843930865628,0
3,25,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0,1900,1909,0.004714510214772132,0,-1.3223052180350026e-4,0.0016307886071406812,0.9463157894736842,0.15511328557788026,0.03166396489819007,0.002859391065091396,0.9110526315789473,0.17664718695921405,0.03170936136775426,0.002883651578626068,0.9147368421052632,0.18137474496228514,0.026622140357391577,0.002479672822022424,0.9221052631578948,0.17103666641518436,0
4,6,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0,1900,2756,0.31059506531204645,0.13578947368421052,-0.009559813548473906,0.008950121116652002,0.9626315789473684,0.39038910213752237,0.03777725368837853,0.013067361459947949,0.9515789473684211,0.4450582000868193,0.037892621607798216,0.013108293196747988,0.9289473684210526,0.4309040998599186,0.029565994294091125,0.01196138804435236,0.95,0.4309091535388161,0
5,12,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0,1900,2056,0.07587548638132295,5.263157894736842e-4,-0.002672419014764227,0.004845940561726665,0.9568421052631579,0.2759262607674711,0.0401630154459276,0.007463375003300517,0.9263157894736842,0.3118198597033989,0.040225892346260506,0.007481658467214881,0.8989473684210526,0.29832446945710694,0.03346672831558839,0.006816559426294113,0.9284210526315789,0.30238432126392817,0
6,25,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0,1900,1910,0.005235602094240838,0,-6.201769340178354e-4,0.002461228525685962,0.9494736842105264,0.19109628044324573,0.039551328184770196,0.004220579825065569,0.8984210526315789,0.21330290925846349,0.03958844322537047,0.004223665382030952,0.8726315789473684,0.20061300753587924,0.03315709475049383,0.003668471371484607,0.9105263157894737,0.20777599680242914,0
7,6,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0,1900,2869,0.33774834437086093,0.11894736842105263,-0.01230393018518594,0.014940678157841033,0.9631578947368421,0.5051687955137043,0.05977350186273772,0.022360132757656245,0.9410526315789474,0.5772025160548427,0.059721154617656924,0.0224328318808323,0.8705263157894737,0.5097711431194655,0.04880667999321203,0.02060291580047885,0.9421052631578948,0.5586638667256003,0
8,12,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0,1900,2050,0.07317073170731707,0,-0.00554373031259453,0.00849070970180927,0.9457894736842105,0.3573277639350411,0.06006441320775535,0.01248142700057739,0.9252631578947368,0.4012142135918167,0.060014196978880996,0.012497864883062005,0.87,0.36151150965388246,0.04971318360996668,0.01105722951710374,0.9336842105263158,0.3899252630611913,0
9,25,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0,1900,1910,0.005235602094240838,0,-0.002416644494081188,0.003836105164410178,0.9557894736842105,0.2475417659379324,0.05510686219245636,0.007158359522082552,0.8963157894736842,0.2736115487747154,0.05507140011299977,0.007156359566137499,0.8468421052631578,0.24834182313029446,0.04637066813357693,0.006171259868261184,0.9121052631578948,0.26722561087369756,0
10,6,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0,1900,2638,0.27975739196360877,0.16736842105263158,-0.02820894767127996,0.05279357761699017,0.9773684210526316,1.0119522647797476,0.1812061242807691,0.09490865666352456,0.9405263157894737,1.1610035458019385,0.18109348378510737,0.09481163238844185,0.8052631578947368,0.8849083357370351,0.1483709980914697,0.08328239137006958,0.9494736842105264,1.1220136470868045,0
11,12,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0,1900,2019,0.05894006934125805,0,-0.009403513231778626,0.032744943003353184,0.9536842105263158,0.7155973476558521,0.18786197923013637,0.06715533840689605,0.89,0.8174478976551328,0.18772600826213248,0.06724405851578799,0.77,0.6609179718545789,0.15699606364940621,0.05565765075742175,0.9068421052631579,0.7902426649517176,0
12,25,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0,1900,1906,0.0031479538300104933,0,-0.0020177038469412767,0.016548011569708032,0.9426315789473684,0.4957588673089645,0.18730602668559282,0.05055934571300345,0.7878947368421053,0.5606655290463957,0.1874143305811875,0.05059900406924344,0.6357894736842106,0.45691192886904947,0.1574602616912386,0.03993286727363907,0.8273684210526315,0.5439777804764491,0
13,6,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.2,1900,2536,0.250788643533123,0.21473684210526317,8.752317312297753e-4,0.006025009465338353,0.9605263157894737,0.31690506620732045,0.03556401498430911,0.009289573818135563,0.9473684210526315,0.364409587875463,0.02204532703167761,0.008578862915738375,0.9589473684210527,0.39330088905332894,0.020628359636768345,0.008285827408369133,0.9494736842105264,0.3519797107774544,0
14,12,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.2,1900,1989,0.04474610356963298,0,-0.0027798418763711474,0.003222721131438893,0.95,0.22402656120694334,0.03060752763991198,0.004860911767115606,0.9357894736842105,0.2583208358668086,0.017735036042891006,0.004284040872617372,0.958421052631579,0.26979021754229604,0.015412899981048167,0.00404474835663174,0.9505263157894737,0.24894252840605852,0
15,25,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.2,1900,1905,0.0026246719160104987,0,-5.069418003719739e-4,0.0015965998291502862,0.9536842105263158,0.15512409024448662,0.031241332357617724,0.002867062478293172,0.8963157894736842,0.17699373969367152,0.019732383758581717,0.002308354680019667,0.9363157894736842,0.18151022592457575,0.017303528338096674,0.0021614684264824532,0.9289473684210526,0.17115334338619678,0
16,6,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.2,1900,2668,0.28785607196401797,0.15157894736842106,-0.00837085853941083,0.009265866891189974,0.9626315789473684,0.3902048664856085,0.03828146873382532,0.01303758180757084,0.95,0.4452299618978828,0.02163034613871162,0.012153678543728603,0.9263157894736842,0.43210471188014493,0.017207513440618383,0.011499551772932631,0.96,0.4309893027053286,0
17,12,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.2,1900,2035,0.06633906633906633,0,-0.005321545131285743,0.00488393080920561,0.9468421052631579,0.2758223519262134,0.03850034856411255,0.007136958730821891,0.9357894736842105,0.31245896939486273,0.02428858929695582,0.006354427537210624,0.9226315789473685,0.295927499161349,0.01864821625215307,0.005936193678031028,0.9510526315789474,0.3028135427134314,0
18,25,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.2,1900,1906,0.0031479538300104933,0,1.6710764005489764e-4,0.0024084974926442937,0.9594736842105264,0.1911238906198814,0.040841931472766935,0.00442696902121859,0.8926315789473684,0.21338026884701736,0.02871224727100541,0.0036167827751831167,0.9031578947368422,0.1995889629969364,0.023558567630285687,0.003308891737827895,0.9268421052631579,0.20769006506322107,0
19,6,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0.2,1900,2885,0.341421143847487,0.12,-0.014695287208099872,0.01425038857053326,0.9657894736842105,0.5055156482077136,0.056695925417180715,0.021276089277297735,0.9468421052631579,0.5762384354992919,0.03336169144753598,0.019344710638858148,0.8968421052631579,0.5084483441734723,0.022451208308155335,0.017965260165393505,0.9605263157894737,0.5578132584161647,0
20,12,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0.2,1900,2097,0.09394372913686218,0,-0.006747685585520413,0.00798260220706766,0.9526315789473684,0.35730760294339,0.05695191256041954,0.012439708076330897,0.9252631578947368,0.40030942032656613,0.0368486045348968,0.010847846994110177,0.8984210526315789,0.362232619695669,0.027771361586708565,0.009858431280123557,0.9515789473684211,0.3890714125841666,0
21,25,0.4,0.4,0.06,0.4,0.4,0.8,0.2,zscore,0.2,1900,1910,0.005235602094240838,0,-1.892940893705175e-5,0.003933035416108722,0.9510526315789474,0.24745823114373366,0.05568245905624458,0.0072303775769453045,0.8952631578947369,0.2729142114577554,0.03868022712141217,0.005640012267710949,0.891578947368421,0.2472469633672276,0.02993999053620816,0.005093416289808263,0.9410526315789474,0.2665416552811441,0
22,6,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0.2,1900,2605,0.2706333973128599,0.17894736842105263,-0.02171117740657008,0.05285838304504131,0.9715789473684211,1.012100109501842,0.1863443118619882,0.10183551254281381,0.9352631578947368,1.1602470013754929,0.10734221581536763,0.0784130043388652,0.8315789473684211,0.8922345241565901,0.05948267109427274,0.07152509114225664,0.958421052631579,1.1193226052778038,0
23,12,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0.2,1900,1998,0.04904904904904905,0,-0.017119724409897785,0.03200093627785174,0.9531578947368421,0.7156209601745673,0.18332566090082214,0.06392876855216972,0.8984210526315789,0.8186481458013709,0.10980456922858295,0.04351394417278022,0.8473684210526315,0.64572753496370106,0.06228547654198746,0.038260672227050804,0.9526315789473684,0.7857453270108002,0
24,25,0.4,0.4,0.36,0.4,0.4,0.8,0.2,zscore,0.2,1900,1907,0.0036706869428421605,0,-0.0014849860831763206,0.015112337042357583,0.9536842105263158,0.4958037137855433,0.18917419295952298,0.049471991757377244,0.7826315789473685,0.5610421850323426,0.12091615970870495,0.02862688639394669,0.7947368421052632,0.45345467646172627,0.07780019307457148,0.021853069640619813,0.9305263157894736,0.5367607360010325,0
25,6,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.4,1900,2555,0.2563600782778865,0.2036842105263158,-0.0017652567778696504,0.005798660344806922,0.9621052631578947,0.3166941778168053,0.031943386991165224,0.008388487380693118,0.9521052631578948,0.3633526825120537,0.004814693458962516,0.0076578185405723025,0.968421052631579,0.3905591110922981,0.007074132835833358,0.00735825337045814,0.9610526315789474,0.35095593358433186,0
26,12,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.4,1900,1997,0.0485728592889334,0,-0.002097409879060319,0.003249441322126377,0.9521052631578948,0.2241571085138314,0.030254013736565444,0.005138380230485655,0.9321052631578948,0.25844709284526696,0.004537200429458543,0.004640257961570915,0.9531578947368421,0.2677064994637796,0.0059724881734194435,0.004312357748884918,0.9431578947368421,0.24884737556589842,0
27,25,0.4,0.4,0,0.4,0.4,0.8,0.2,zscore,0.4,1900,1907,0.0036706869428421605,0,-3.0841008723614394e-4,0.001599985675369467,0.9473684210526315,0.15508933112340006,0.03098913473747794,0.0028196841425914814,0.901578947368421,0.17675900140234319,0.00840852135800746,0.002115187149497473,0.9521052631578948,0.17999239101532546,0.00860772007753735,0.002008057580560574,0.9478947368421052,0.17035426451374272,0
28,6,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.4,1900,2722,0.3019838354151359,0.14684210526315788,-0.007722172786943038,0.00869683343411499,0.9642105263157895,0.38993109833728534,0.038030043156544846,0.012482751620309453,0.9505263157894737,0.4449159784587537,0.004967705061184047,0.011510435877882523,0.9321052631578948,0.4323838579093474,0.0037468916874198177,0.01084246910726413,0.9657894736842105,0.43028407861074364,0
29,12,0.4,0.4,0.02,0.4,0.4,0.8,0.2,zscore,0.4,1900,2067,0.08079342041606193,0,-0.004995624059808745,0.004802430553542137,0.958421052631579,0.2759667101094296,0.03722308005413155,0.007060017388754235,0.9273684210526316,0.31169282210781185,0.00849948427852093,0.006237065155735025,0.9310526315789474,0.29810017168657704,0.006518627978920999,0.005870000624397342,0.95,0.30176454393078955,0
