Measure,Selection,Z_score,Estimate_adjusted,CI_adjusted_lower,CI_adjusted_upper,Estimate_unadjusted,CI_unadjusted_lower,CI_unadjusted_upper
log OR,0,FALSE,1.5359552594068984,1.177511383835885,1.8943991349779117,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0,TRUE,1.5359552594068984,1.177511383835885,1.8943991349779117,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.1,FALSE,1.5325400071677266,1.1748573263168867,1.8902226880185666,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.1,TRUE,1.5297672225313939,1.1726349120808006,1.886899532981987,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.2,FALSE,1.529166064039732,1.1721445172096505,1.8861876108698135,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.2,TRUE,1.5237218747314378,1.1675508892689885,1.8798928601938871,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.30000000000000004,FALSE,1.5258355409539348,1.1693683518868574,1.8823027300210122,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.30000000000000004,TRUE,1.5178314312271526,1.1622274864269488,1.8734353760273563,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.4,FALSE,1.5225504883273224,1.1665236763384295,1.8785773003162154,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.4,TRUE,1.5121069323749348,1.1566274778112837,1.8675863869385858,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.5,FALSE,1.5193128652473185,1.1636048064612505,1.8750209240333864,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.5,TRUE,1.5065578529177117,1.1507099062169774,1.862405799618446,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.6000000000000001,FALSE,1.5161245129664584,1.160605576020962,1.871643449911955,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.6000000000000001,TRUE,1.5011919919850387,1.1444330333945099,1.8579509505755676,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.7000000000000001,FALSE,1.5129871343611379,1.1575194167705813,1.8684548519516944,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.7000000000000001,TRUE,1.4960156871120338,1.1377586032486002,1.8542727709754674,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.8,FALSE,1.5099022807675135,1.1543394735170833,1.8654650880179438,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.8,TRUE,1.49103433405178,1.1306572306069502,1.8514114374966097,1.5360044010485687,1.1810358511454715,1.890972950951666
log OR,0.9,FALSE,1.506871347269004,1.1510587559323764,1.8626839386056318,1.5360044010485687,1.1810358511454715,1.890972950951666
