Measure,Selection,Z_score,Estimate_adjusted,CI_adjusted_lower,CI_adjusted_upper,Estimate_unadjusted,CI_unadjusted_lower,CI_unadjusted_upper,Effect_estimate
log OR,0,FALSE,1.096332562606688,0.24749520459874907,1.945169920614627,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0,TRUE,1.096332562606688,0.24749520459874907,1.945169920614627,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.1,FALSE,1.0037448813853915,0.15641462212757773,1.8510751406432053,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.1,TRUE,1.0146625023119957,0.1666798377433354,1.862645166880656,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.2,FALSE,0.9131529528560307,0.06838765865339502,1.7579182470586665,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.2,TRUE,0.9338575235022496,0.08798684876018437,1.7797281982443147,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.30000000000000004,FALSE,0.8263005907192852,-0.012156656336804295,1.6647578377753747,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.30000000000000004,TRUE,0.855098758721007,0.014462427655800303,1.6957350897862138,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.4,FALSE,0.7456994273972551,-0.08111392232813919,1.5725127771226495,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.4,TRUE,0.7801657983684767,-0.05085848951492644,1.6111900862518798,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.5,FALSE,0.6738469238667528,-0.13630177680056244,1.4839956245340682,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.5,TRUE,0.7109838055433727,-0.10610653431340888,1.5280741454001543,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.6000000000000001,FALSE,0.6123787337698087,-0.178047864303164,1.4028053318427813,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.6000000000000001,TRUE,0.6490426967846802,-0.15109594086547484,1.4491813344348352,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.7000000000000001,FALSE,0.5616591677411459,-0.2085074565258147,1.3318257920081065,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.7000000000000001,TRUE,0.5950358974762854,-0.18699869866849306,1.3770704936210638,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.8,FALSE,0.5209390548003437,-0.230465121117425,1.2723432307181124,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.8,TRUE,0.5488585382996657,-0.21558788824534836,1.3133049648446797,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.9,FALSE,0.48881995507671433,-0.2464374965349278,1.2240774066883564,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,0.9,TRUE,0.5098520648769573,-0.23858649310369906,1.2582906228576136,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1,FALSE,0.463708780258195,-0.2583221671887677,1.1857397277051578,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1,TRUE,0.4770996771009846,-0.2573587108014804,1.2115580650034496,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.1,FALSE,0.44411142225765216,-0.2674160589936185,1.1556389035089227,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.1,TRUE,0.4496473172253118,-0.2728806963396594,1.172175330790283,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.2000000000000002,FALSE,0.42876441224383444,-0.2745672355162795,1.1320960600039482,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.2000000000000002,TRUE,0.4266224713074869,-0.2858335882250769,1.1390785308400506,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.3,FALSE,0.4166612594014009,-0.28032639574578716,1.113648914548589,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log OR,1.3,TRUE,0.40727629625903755,-0.29670788469668247,1.1112604772147576,1.095363519106798,0.18368872038222683,2.0070383178313693,odds_ratio
log RR,0,FALSE,1.0327348777506606,0.20441197723310323,1.861057778268218,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0,TRUE,1.0327348777506606,0.20441197723310323,1.861057778268218,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.1,FALSE,0.9395546035204441,0.10398721482935214,1.775121992211536,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.1,TRUE,0.9485318378820728,0.11328037133261681,1.783783304431529,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.2,FALSE,0.84475593749018,0.0011815896320515051,1.6883302853483084,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.2,TRUE,0.861865760732707,0.01723673223529798,1.706494789230116,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.30000000000000004,FALSE,0.7496868022899205,-0.10436910038573,1.6037427049655708,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.30000000000000004,TRUE,0.7719250137164799,-0.0877593487446765,1.6316093761776362,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.4,FALSE,0.6557340726663846,-0.21240148297203743,1.5238696283048068,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.4,TRUE,0.676867337575067,-0.20625234583943286,1.559987020989567,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.5,FALSE,0.5644748326125637,-0.3206861126414424,1.4496357778665698,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
log RR,0.5,TRUE,0.5746516600164138,-0.33925248277382136,1.488555802806649,1.0424993431466596,0.16308068930720698,1.9219179969861122,relative_risk
